,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,hardness,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,hardness_error,like_gbm-lat_time_difference,gbm-lle_time_difference
0,,b'GRB140323A      ',56739.4325579,417262976.12,356.52,-79.92,306.4554,-36.757,0.18,0.0,0.0,30.3002,68.4066,0,2.36,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,226.8,488.82001,147.83501,715.62,173.21001,957.70001,0.0,4000.0,39.782,1.72276e-06,8.7718e-07,7.78926e-09,6.92946e-09,3.1157e-05,2.77178e-05,-1.5339,0.305679,0.0,0.0,226.8,715.62,5.00554,4.81799e-06,0.0,5.33761e-09,0.0,2.60913e-06,0.0,-1.77525,0.534868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.482,715.62,20.5393,1.43733e-06,9.33433e-07,6.00137e-09,6.8894e-09,3.59565e-06,4.1277e-06,-1.55766,0.380987,0.0,0.0,2800.0,1.0,226.8,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,b'GRB140323433',5.056,111.426,3.027,116.482,3.2424e-05,1.9208e-07,0.0,0.0,0.0,inf,,,,,-226.8,5.056
2,GRB160325291,b'GRB160325A      ',57472.2912153,480581965.51,16.21,-72.66,301.5342,-44.4319,0.24,0.0,0.0,7.2372,55.525,0,3.4,b'P8_TRANSIENT010E              ',6.5,1,13.816,0.203,14.019,4.98,1550.73999,458.35501,1555.71997,4.86,2472.31006,0.0,4000.0,97.2241,4.64852e-06,9.55144e-07,2.38072e-09,7.24476e-10,9.52288e-06,2.89791e-06,-2.41911,0.230645,0.0,0.0,4.98,1555.71997,94.858,4.769e-06,9.95543e-07,2.40535e-09,7.3455e-10,3.73007e-06,1.1391e-06,-2.43121,0.236077,0.0,0.0,2.048,44.993,9.14198,2.71042e-05,0.0,3.00274e-08,0.0,1.28953e-06,0.0,-2.73237,1.04443,0.0,0.0,44.993,1555.71997,93.4201,4.73745e-06,1.00722e-06,2.47458e-09,7.83883e-10,3.73841e-06,1.18423e-06,-2.40389,0.236112,0.0,0.0,3000.0,1.0,92.02,21.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000608841,0.74088,0.0995074,-3.35121,0.286897,0.74088,0.0995074,83.0,b'GRB160325291',2.048,42.945,0.572,44.993,1.8598e-05,1.9812e-07,5.683413713566785,12.483588666929968,0.345712010766554,2.892581017890239,2.5967229791628217,6.898600447992251,0.19104553981740421,0.8833450947244345,-2.9320000000000004,1.845
4,GRB171212434,b'GRB171212B      ',58099.4335417,534767063.51,39.42,-70.63,291.0416,-43.9636,0.43,0.0,0.0,11.4614,61.4512,0,3.33,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,116.62,380.35001,128.72501,496.97,47.51,685.31,0.0,4000.0,25.5044,1.77797e-06,7.76951e-07,1.12668e-09,8.56347e-10,4.50673e-06,3.42539e-06,-2.27277,0.455968,0.0,0.0,116.62,496.97,6.9013,3.81207e-06,0.0,4.2232e-09,0.0,1.6063e-06,0.0,-4.59306,1.77459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.977,496.97,10.2915,3.96396e-06,0.0,4.39147e-09,0.0,2.04639e-06,0.0,-3.54076,1.25411,0.0,0.0,610.0,0.97,496.97,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,b'GRB171212434',-1.024,32.001,1.379,30.977,5.0312e-06,6.7805e-08,0.0,0.0,0.0,inf,,,,,-116.62,-1.024
5,GRB120107384,b'GRB120107A      ',55933.3835069,347620337.41,245.01,-70.59,318.6508,-14.394,0.34,0.0,0.0,46.7623,96.6798,0,1.78,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,1.28,47.51,12.695,48.79,0.69,73.59,0.064,23.104,53.2877,7.81903e-05,2.97993e-05,4.35573e-08,3.0297e-08,1.00356e-06,6.98042e-07,-2.35685,0.459757,0.0,0.0,1.28,48.79,40.5257,3.71005e-05,1.69551e-05,5.01006e-08,4.57445e-08,2.38028e-06,2.17332e-06,-1.92299,0.364791,0.0,0.0,0.064,23.104,53.2877,7.81903e-05,2.97993e-05,4.35573e-08,3.0297e-08,1.00356e-06,6.98042e-07,-2.35685,0.459757,0.0,0.0,23.104,48.79,14.7693,6.94041e-05,0.0,7.68893e-08,0.0,1.97498e-06,0.0,-1.54646,0.4224,0.0,0.0,1900.0,1.0,7.7,8.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,b'GRB120107384',0.064,23.04,0.143,23.104,6.532e-06,4.4356e-08,2.1075268527378337,0.8693967736913331,0.4216142638681163,2.3718362629040617,1.6355431600124757,1.0275320011033613,0.4983016887858316,2.9330612769014115,-1.216,0.064
6,GRB130327350,b'GRB130327B      ',56378.3500463,386065447.05,218.26,-69.76,311.5638,-8.6094,0.21,0.0,0.0,46.2562,86.2414,1,5.39,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,8.0,515.16998,11.57,523.16998,7.92,546.22998,0.0,100.0,327.622,7.6653e-05,1.26654e-05,1.81711e-07,8.11239e-08,1.81711e-05,8.11239e-06,-1.73107,0.12391,0.0,0.0,8.0,523.16998,251.155,1.60244e-05,2.48234e-06,3.38163e-08,1.41296e-08,1.74211e-05,7.27913e-06,-1.76849,0.114602,0.0,0.0,2.048,33.28,68.4032,6.6381e-05,2.23725e-05,1.10294e-07,8.79865e-08,3.4447e-06,2.748e-06,-1.84866,0.27306,0.0,0.0,33.28,523.16998,205.212,1.36598e-05,2.34493e-06,2.97874e-08,1.38007e-08,1.45925e-05,6.76085e-06,-1.75785,0.125869,0.0,0.0,9200.0,1.0,49.42,42.0,0.00219223,-4.34312,1.20574,1.28907,0.871023,1.65026,0.280875,1.93437,0.769468,0.00173106,1.55603,0.160344,-1.37927,0.341279,1.55603,0.160344,250.0,b'GRB130327350',2.048,31.232,0.724,33.28,5.1995e-05,8.0581e-08,4.142495194827887,3.261563210641022,0.19773148653070124,5.057363485934915,2.1465176031510014,3.348834983744408,0.20302265787689064,4.986910749138233,-5.952,2.048
8,GRB210520797,b'GRB210520A      ',59354.7965509,643230427.94,123.45,-69.22,282.4468,-18.3775,0.87,0.0,0.0,20.6789,66.9909,0,5.13,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,1.34,6.33,0.475,7.67,1.32,8.6,0.0,13.27,125.185,0.000185159,5.04375e-05,6.62503e-08,2.55901e-08,8.79141e-07,3.3958e-07,-2.80367,0.457779,0.0,0.0,1.34,7.67,124.195,0.000332368,9.72459e-05,1.2449e-07,5.37976e-08,7.8802e-07,3.40539e-07,-2.73829,0.474827,0.0,0.0,0.256,56.321,107.449,4.69537e-05,1.24653e-05,1.91521e-08,7.98694e-09,1.07376e-06,4.47788e-07,-2.63258,0.400581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,1.0,1.43,12.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,b'GRB210520797',0.256,56.065,3.083,56.321,2.8451e-06,4.1124e-08,0.1412702185529293,0.15384448550084345,1.3626050100251261,0.7338883921919238,0.08512219585791504,0.11976724957125831,1.0607838323512064,0.5702541475719282,-1.084,0.256
10,GRB141221897,b'GRB141221B      ',57012.8970833,440890311.78,99.12,-66.9,277.0513,-26.2441,0.33,0.0,0.0,38.7153,84.3344,0,0.82,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,22.17,36.3,6.74,58.47,21.05,70.83,0.0,100.0,41.4874,1.23521e-05,5.31186e-06,1.7219e-08,1.68241e-08,1.7219e-06,1.68241e-06,-1.91123,0.36624,0.0,0.0,22.17,58.47,39.4949,2.0847e-05,1.10124e-05,7.15119e-08,8.2991e-08,2.59588e-06,3.01257e-06,-1.61674,0.360765,0.0,0.0,-1.28,31.233,7.4495,3.39071e-05,0.0,3.75639e-08,0.0,1.22132e-06,0.0,-5.73641,3.37981,0.0,0.0,31.233,58.47,39.8045,2.18834e-05,1.24409e-05,1.14873e-07,1.37787e-07,3.1288e-06,3.75291e-06,-1.48945,0.357052,0.0,0.0,5500.0,1.0,58.47,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,b'GRB141221897',-1.28,32.513,1.846,31.233,7.4393e-06,7.1278e-08,1.6264738331654436,0.5252818062448347,0.47048399771946314,2.125470802082992,1.1821328510459657,0.5658726437047316,0.5068402820148631,2.4666508367995283,-23.450000000000003,-1.28
12,GRB170127067,b'GRB170127C      ',57780.0665162,507173752.79,338.98,-63.97,324.0439,-47.2212,0.52,0.0,0.0,142.2202,92.2346,1,6.68,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,664.76001,2224.23999,45.69,2889.0,599.40002,2915.02002,664.76001,2889.0,35.9158,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,8.94369e-07,3.34002e-07,-2.93226,0.500394,0.0,0.0,664.76001,2889.0,35.9158,1.21421e-06,3.86321e-07,4.02101e-10,1.50165e-10,8.94369e-07,3.34002e-07,-2.93226,0.500394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,2889.0,32.9698,1.18773e-06,3.82946e-07,3.58363e-10,1.22551e-10,1.03526e-06,3.54033e-07,-3.12808,0.549061,0.0,0.0,510.0,1.0,2889.0,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,b'GRB170127067',0.0,0.128,0.045,0.128,5.5868e-06,5.3191e-08,0.0,0.0,0.0,inf,,,,,-664.76001,0.0
13,GRB200803149,b'GRB200803A      ',59064.148912,618118471.57,311.29,-63.08,332.7296,-36.7561,0.46,0.0,0.0,38.7929,77.9284,0,2.16,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,26.0,212.48,8.255,238.48,17.89,246.88,0.0,584.79999,36.8221,6.89035e-06,2.29276e-06,3.32541e-09,1.66258e-09,1.9447e-06,9.72278e-07,-2.46758,0.391614,0.0,0.0,26.0,238.48,28.942,7.12115e-06,3.01412e-06,7.43519e-09,6.40577e-09,1.57983e-06,1.3611e-06,-2.02428,0.360117,0.0,0.0,2.304,120.578,3.90962,1.2858e-05,0.0,1.42447e-08,0.0,1.68478e-06,0.0,-2.58658,1.00734,0.0,0.0,120.578,238.48,27.0265,9.60267e-06,4.41353e-06,1.21401e-08,1.21183e-08,1.43134e-06,1.42877e-06,-1.94784,0.380337,0.0,0.0,650.0,1.0,217.67,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,b'GRB200803149',2.304,118.274,1.145,120.578,3.0893e-05,3.3585e-08,1.8056072404035863,1.9158488216172014,1.0664311982934873,0.9377070003205167,1.174704114775498,1.7782829776600066,0.989857505738641,0.807879960588326,-23.696,2.304
14,GRB081006604,b'GRB81006.0      ',54745.6038657,244996175.17,135.0,-61.95,279.0552,-10.3568,0.38,0.0,0.0,10.7724,40.2945,0,4.11,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,0.78,61.49,18.525,62.27,0.69,99.23,0.78,62.27,111.606,3.33584e-05,9.59503e-06,3.39404e-08,2.23871e-08,2.087e-06,1.37658e-06,-2.03518,0.274466,0.0,0.0,0.78,62.27,111.606,3.33584e-05,9.59503e-06,3.39404e-08,2.23871e-08,2.087e-06,1.37658e-06,-2.03518,0.274466,0.0,0.0,-0.256,6.144,97.246,0.000206785,7.40586e-05,1.49303e-07,1.13347e-07,9.55542e-07,7.2542e-07,-2.19819,0.391004,0.0,0.0,6.144,62.27,36.3543,1.56957e-05,6.92987e-06,2.32138e-08,2.40928e-08,1.3029e-06,1.35223e-06,-1.88972,0.370824,0.0,0.0,800.0,0.99,12.08,12.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,b'GRB081006604',-0.256,6.4,0.923,6.144,8.3329e-07,1.871e-08,6.1988884358962055,4.398975851787251,0.4578543363679924,2.184100751196703,3.997687165107733,4.890478128309222,0.509009346888059,2.3868135491725537,-1.036,-0.256
